연번,시설명,지번주소,조사일자,조사자,실태조사 완료여부
1,수완아름마을3단지,광주 광산구 신가동 1202,,정은진,
2,첨단동부아파트,광주 광산구 월계동 757-3,,정은진,
3,첨단동아아파트,광주 광산구 월계동 758-3,,노기섭,
4,하남제일파크맨션,광주 광산구 우산동 1572-1,,이승수,
5,첨단 성원아파트,광주 광산구 월계동 755-4,,노기섭,
6,풍영리버빌,광주 광산구 신창동 1108-1,,노기섭,
7,운남주공6단지,광주 광산구 운남동 782-1,,이승수,
8,운남진아리채리버힐스,광주 광산구 운남동 802,,이승수,
9,수완골드클래스1차,광주 광산구 장덕동 1046,,이승수,
10,하남일신아파트,광주 광산구 월곡동 538-1,,정은진,
11,송광파크맨션2차,광주 광산구 소촌동 455,,이승수,
12,운남주공4단지,광주 광산구 운남동 771-1,,노기섭,
13,송정라인2차,광주 광산구 송정동 918-3,,이승수,
14,수완세영리첼,광주 광산구 장덕동 1111,,정은진,
15,첨단 3-3차 호반리젠시빌,광주 광산구 산월동 884-2,,정은진,
16,영천주공9단지,광주 광산구 월곡동 681-1,,노기섭,
17,신창부영2차,광주 광산구 신창동 1270,,이승수,
18,하남금호타운,광주 광산구 월곡동 613-1,,정은진,
19,수등리안,광주 광산구 신가동 1019-1,,이승수,
20,운남주공7단지,광주 광산구 운남동 794-3,,이승수,
